,대상자번호,업종코드1,대상자명,대상자코드
4190846,6000606835,46329.0,SKY GLOBAL AUSTRALIA PTY LTD,701
4190851,2410101313,45211.0,TRI CITY TIRES AND AUTO SERVICE INC,410
4190862,2550101825,28511.0,LG ELECTRONICS MONTERREY MEXICO S A DE C V,550
4190913,6000713713,45211.0,IMPORTADORA LLANTAS ORIENTALES SA,530
4190991,6000505500,10799.0,KYOTO EIYO CO LTD,140
4190992,6000512965,17124.0,INDUSTRIAL JUVENALIS SA,525
4191023,2151101067,46521.0,DAEWOO ELECTRONICS SALES AND SERVICES M SDN BHD,151
4191074,6000404812,28111.0,청송전기 (주),100
4191084,3100116062,31114.0,(주)광산,100
4191085,6000440193,42311.0,ESTATE24HOLDINGS CO LTD,140
4191090,3100020510,33999.0,신우유니온(주),100
4191092,3100007691,1110.0,농업회사법인 (주) 농우바이오,100
4191097,3100111063,22212.0,(주)덕유,100
4191098,3100108317,20501.0,주식회사 진경물산,100
4191102,6000066189,46532.0,HYUNDAI CONSTRUCTION EQUIPMENT MAROC SARL,645
4191133,2518100204,45120.0,AUTOS OBANDO Y OBANDO SA,518
4191154,6000707093,25112.0,LINDSAY F  NELSON MANUFACTURING PTY  LIMITED,701
4191175,2450121761,47416.0,ANNTAYLOR INC,450
4191176,2511104576,47320.0,MIXTEL DISTRIBUIDORA LTDA,511
4191203,2121107941,28201.0,HARBIN COSLIGHT POWER CO LTD,121
4191243,6000274566,46742.0,주유무역(주),100
4191268,3100000595,26120.0,삼성전자(주),100
4191278,6000534010,22299.0,청광수지,100
4191283,2135100978,24191.0,NATIONAL STEEL AND AGRO INDUSTRIES LIMITED,135
4191308,6000860439,,"NANTONG FUZI FOODS CO., LTD",121
4191328,6000437214,13212.0,FILATI AND FILATI SRL,332
4191356,6000182383,13212.0,ALPE ADRIA TEXTIL SRL,332
4191382,2349100851,28519.0,PHILIPS CONSUMER LIFESTYLE B V,349
4191410,6000191868,46599.0,MERCANTIL AUTOMOVILIARIA S A,517
4191414,6000270127,15190.0,(주)신도레더,100
4191420,6000322846,46321.0,아이케이지코리아,100
4191421,6000553923,29199.0,(주)글로벌텍,100
4191451,6000884499,,LOVE VINTAGE INC,450
4191466,2550102110,46539.0,HERCON MAQUINARIA S A DE C V,550
4191480,6000415198,13214.0,다경무역,100
4191481,6000404882,46621.0,(주)한국화이바 에이엠에스,100
4191487,6000414732,46742.0,KOASYS INC (JELLY TEXTILE),450
4191491,3100118362,46741.0,비에스티글로윈(주),100
4191492,6000885883,29299.0,(주)디케이씨,100
4191493,6000885919,29271.0,주식회사 비에프테크,100
4191513,2517100907,46510.0,POLUX SUMINISTROS S A S,517
4191525,6000767807,10791.0,(주) 씨즈커피코리아,100
4191531,6000756271,22221.0,한화엘앤씨(주),100
4191564,6000769924,95122.0,SERVICE CENTER LTD,361
4191591,6000581922,46313.0,청풍무역 주식회사,100
4191632,3100117537,31321.0,하나아이티엠(주),100
4191634,6000460230,27321.0,아이오솔루션 주식회사,100
4191637,6000224414,26221.0,(주)씨에스티,100
4191716,2353100313,46332.0,OZCOCKTAIL SRL,353
4191727,6000645185,10220.0,주식회사 에이치알푸드,100
4191733,6000753814,46721.0,STARO STAHLROHRHANDELSGESELLSCHAFT MIT BESCHRANKTER HAFTUNG,325
4191743,2121115217,22299.0,DONGGUAN SHIN YANG ELECTRONICS CO LTD,121
4191751,3100021929,30310.0,(주)삼정산업,100
4191752,3100010793,46721.0,(주)가조산업,100
4191753,3100012268,14112.0,(주)씨케이제이,100
4191754,3100100769,26120.0,(주)씨앤비텍,100
4191756,3100106901,46417.0,마이스터인터내셔날(주),100
4191760,3100112657,46311.0,농업회사법인 주식회사 농산,100
4191786,6000421692,15129.0,VIET NAM DAE SHIN ELECTRONICS CO LTD (DAE SHIN ELECTRONICS CO LTD),176
4191794,2450101455,46721.0,ALPS WIRE ROPE CORPORATION (ALPS),450
4191795,3100000251,46799.0,현대종합상사(주),100
4191820,6000577959,38301.0,TAIZHOU WEILONG METALS CO LTD,121
4191822,6000566528,14120.0,(주)씨.엔.엔 어페럴,100
4191915,2140102914,10749.0,TOFCO CO LTD,140
4191933,6000381226,46799.0,(주)케이피엘,100
4191934,3100026570,14199.0,인터컴교역 주식회사,100
4191973,6000770754,26299.0,DONGGUAN BK LCD CO LTD,121
4192002,6000444713,46611.0,(주)태창우드,100
4192029,6000898412,45219.0,MACHINE TRACTOR PARK SIYOB AGROMASH TEHNIK PE,367
4192079,6000576976,46443.0,(주)제이엔씨인터내셔날,100
4192087,2618100473,28519.0,UNION GROUP COMPANY FOR TRADING S A E,618
4192098,2121108021,47119.0,METRO JINJIANG CASH AND CARRY CO LTD,121
4192146,6000637479,25993.0,(주)노블첸,100
4192169,6000905464,42201.0,GESTAVAC UNIPESSOAL LDA,352
4192232,2550102200,46431.0,GRUPO FAMSA S A B DE C V,550
4192292,6000559963,46532.0,ELMEC EQUIPMENT TRADING L L C,280
4192302,6000874974,46621.0,DANEM ENGINEERING WORKS FZE,280
4192369,6000725319,52991.0,LIEN KET VIET TRANSPORT LOGISTICS CO LTD,176
4192388,2220100401,45219.0,SAIPA YADAK TRADING COMPANY,220
4192437,6000472748,25113.0,THE NATIONAL FACTORY FOR MAKING CAN BRANCH OF ABDUL RAHMAN AL HADAR FACTORY FOR CHEMICAL INDUSTRIES,255
4192461,6000158068,20302.0,JBF RAK L L C,280
4192462,6000181303,47640.0,IMAGINARIUM SA,355
4192468,6000205602,45219.0,주식회사 에스제이오토,100
4192483,6000591437,32029.0,체어마이스터(주),100
4192570,2618100455,17902.0,AL BARDI PAPER MILL S A E,618
4192608,6000830744,84113.0,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON PAQUISHA MUNICIPIO DE PAQUISHA GAD PAQUISHA,525
4192615,6000380226,46533.0,EUROWELDING MEXICO S A DE C V,550
4192616,6000382078,46521.0,COSMOS ELECTRO SA,645
4192635,6000544439,23999.0,INTERMETAL GEORGIA LTD,323
4192655,6000720217,20499.0,대흥산업(주),100
4192668,2355100195,47416.0,PUNTO FA SL,355
4192669,2314100199,46441.0,ALMASONIC LLC,314
4192670,2280101394,46599.0,DELMA AL REDWAN TRADING COMPANY L L C,280
4192677,6000860443,,EXCALIBUT WARTER SYSTEMS INC,410
4192709,6000544439,23999.0,INTERMETAL GEORGIA LTD,323
