,대상자번호,업종코드,대상자코드
2292438,2355100195,46800,355
2292482,2136103280,29119,136
2292575,2450114627,27191,450
2292654,2165101945,68111,165
2292697,2136102563,20131,136
2292800,2140103501,46321,140
2292826,2673100151,46105,673
2292994,2580100740,33999,580
2293084,2516100877,46800,516
2293178,2120102471,46311,120
2293266,2360103193,28302,360
2293344,6000055628,46611,511
2293552,2154100149,46510,154
2293555,2503100706,22250,503
2293598,2321102317,28201,321
2293724,2171102908,46800,171
2293798,2516101180,46510,516
2293840,2450121535,26299,450
2293863,2450121186,14199,450
2293910,2151102330,46539,151
2293946,2255101552,5100,255
2293996,2505100008,45110,505
2294111,2627100236,46441,627
2294121,6000066146,26310,135
2294193,2580100365,45211,580
2294204,2450121594,14191,450
2294350,2618101014,20421,618
2294364,2140103983,46799,140
2294604,2530100197,46441,530
2295020,2550102976,30310,550
2295131,2136102101,28302,136
2295143,2322100077,26310,322
2295170,2135101907,28511,135
2295307,2560100803,45110,560
2295344,2560100811,45211,560
2295345,2527100180,45211,527
2295404,2135100689,28909,135
2295407,2450112518,47851,450
2295416,2136103091,46800,136
2295422,2511104403,29171,511
2295481,2550102887,46800,550
2295552,2320100325,41111,320
2295591,2280101394,46510,280
2295592,2511104155,30310,511
2295625,2355100145,33999,355
2295634,2516100518,22250,516
2295994,2560100739,45211,560
2296217,2220101113,72121,220
2296266,2328100553,11121,328
2296450,2450117204,99001,450
2296467,2176102495,20421,176
2296495,2360102956,74100,360
2296525,2355100387,45211,355
2296532,2220100916,33999,220
2296547,2176100840,33999,176
2296661,2328100627,29119,328
2296703,2351101006,20499,351
2296786,2140104230,46311,140
2296886,2321102025,46800,321
2296902,2516100375,22211,516
2296918,2321102053,64201,321
2296927,2321102054,13401,321
2296935,2730100003,46800,730
2297122,2366100357,28302,366
2297177,2280101353,46800,280
2297371,2327100854,46721,327
2297582,2630100221,46105,630
2297749,2317100495,46521,317
2297863,2350100463,20499,350
2297898,2121114342,26299,121
2297985,2511103951,45211,511
2298024,2511103664,26310,511
2298102,2314100182,46800,314
2298103,2511103345,73902,511
2298130,2701102659,46311,701
2298140,2220100531,33999,220
2298166,2325100220,47111,325
2298179,2525100552,95211,525
2298234,2701101931,46451,701
2298270,2450117029,29119,450
2298290,2135103955,29119,135
2298342,2450107777,46800,450
2298404,2505100007,95211,505
2298422,2352100455,5200,352
2298446,2550103083,46441,550
2298450,2349100851,28511,349
2298457,2220101088,30310,220
2298538,2450120224,22231,450
2298602,2450115230,42311,450
2299104,2511103309,46800,511
2299198,2180101969,47311,180
2299212,2511104432,24131,511
2299228,2325104200,31111,325
2299230,2325104201,46799,325
2299232,2325104202,46799,325
2299260,2121110239,46800,121
2299335,2275102514,46105,275
2299375,2325100373,26410,325
2299427,2517100870,46105,517
2299442,2558100012,46105,558
2299506,2140103328,46799,140
2299508,2511104416,25991,511
2299517,2130106018,46411,130
2299611,2557100532,46539,557
2299657,2220101301,46800,220
