,대상자번호,업종코드,대상자명,대상자코드
2337729,3100021324,46800,테켐코리아(주),100
2337731,3100021326,46800,장원종합무역,100
2337748,3100026006,46411,(주)하인텍스,100
2337779,3100024250,29141,디케이티엠아이(주),100
2337864,3100021640,26410,(주)아트닉스,100
2337926,3100020086,46721,(주)영진자원,100
2337962,3100013034,24311,보양특수금속(주),100
2337965,3100013123,32029,(주)삼광씨스템,100
2337982,3100012987,26511,(주)코텍산업,100
2338031,3100020400,29269,유니콘미싱공업(주),100
2338088,3100010959,46799,필코전자(주),100
2338108,3100010625,26299,(주)새로닉스,100
2338109,3100006624,27310,보성광학,100
2338119,3100100392,46800,주식회사 기륜산업,100
2338183,3100101792,46105,(주)박코,100
2338185,3100027340,20111,(주)건양화학,100
2338223,3100027208,18111,(주)토탈프린팅스,100
2338236,3100027076,26299,잘만테크주식회사,100
2338245,3100009870,25931,앨트웰텍(주),100
2338256,3100011239,13221,청안섬유(주),100
2338363,3100025841,13229,(주)매크로,100
2338370,3100026321,15190,상운산업,100
2338375,3100026195,26511,(주)DM테크놀로지,100
2338402,3100024878,27321,(주)네오콤,100
2338416,3100027112,27111,신한포토닉스(주),100
2338429,3100027221,30121,가나공항산업(주),100
2338438,3100107080,29161,평선기계산업주식회사,100
2338447,3100107146,20301,삼우고분자(주),100
2338456,3100107155,26410,(주)옵테론,100
2338484,3100106564,26410,알에프에이치아이씨(주),100
2338498,3100106614,26310,(주)켐스,100
2338525,3100108071,13221,(주)동지화섬,100
2338544,3100108454,13999,주)태흥텍스타일,100
2338546,3100108456,10799,대호수산(주),100
2338556,3100107235,47411,창세코퍼레이션,100
2338559,3100107239,33110,(주)실크쥬얼리,100
2338603,3100105576,22240,한국스페셜파렛트,100
2338617,3100107681,13999,(주)엔.에스.텍스타일,100
2338622,3100107187,13999,(주)와프엔필링,100
2338647,3100106468,26299,나이넥스(주),100
2338672,3100106470,46800,인트라월드와이드,100
2338705,3100114032,15190,(주)프리모엔터프라이즈,100
2338718,3100116056,13401,(주)클래식모드,100
2338725,3100111865,26120,(주)제이텍반도체,100
2338727,3100113813,13229,(주)에펠산업,100
2338751,3100115028,38302,에이스환경 주식회사,100
2338763,3100114542,22221,(주)세데코,100
2338767,3100114547,13999,보나텍스(주),100
2338777,3100113321,20499,(주)켐택,100
2338799,3100111956,26120,주식회사 케이비에프,100
2338875,3100112491,25911,(주)옥광,100
2338883,3100104229,26120,(주)에이팩,100
2338955,3100104661,25991,덕수공업사,100
2338963,3100104708,14199,토마 INT'L,100
2338992,3100103059,20201,메탈화학(주),100
2338997,3100102407,62021,(주)포스코아이씨티,100
2339004,3100102446,22111,한영타이어(주),100
2339005,3100102449,13221,(주)한일,100
2339020,3100103503,14199,(주)지티씨상역,100
2339031,3100103550,46800,(주)케이에스엘,100
2339035,3100103307,13221,(주)대천텍스타일,100
2339041,3100103122,13229,(주)지앤제이이앤씨,100
2339063,3100104770,14199,청송무역,100
2339073,3100104822,29119,좋은포장기계,100
2339095,3100102213,46510,글로벌에이엠에스(주),100
2339114,3100007355,95211,범성자동차부품(주),100
2339118,3100007386,24191,태연기계(주),100
2339149,3100021655,33110,(주)보원산업,100
2339163,3100021517,26511,(주)에이엠티,100
2339168,3100021523,46105,(주)유진아이티엔,100
2339210,3100024468,26120,(주)하이트론씨스템즈,100
2339250,3100022069,14199,(주)수호아이엔씨,100
2339253,3100022072,20301,(주)인테코코퍼레이션,100
2339261,3100021685,18121,(주)타라티피에스,100
2339289,3100020885,14300,리무역(주),100
2339291,3100020887,13229,서이무역(주),100
2339297,3100020893,13229,(주)해성텍스타일,100
2339313,3100021004,95211,파트피아(주),100
2339339,3100006828,25931,제림금속,100
2339424,3100013892,46521,(주)씨디엠트레이딩,100
2339427,3100008211,33110,(주)선재통상,100
2339474,3100025851,25941,주식회사 케이피에프,100
2339529,3100101441,13310,(주)동영섬유,100
2339575,3100101294,13221,(주)테크텍스,100
2339596,3100027419,46105,(주)지엔에프아이엔씨,100
2339605,3100100417,14191,네트69스포츠(주),100
2339610,3100100583,46510,델파이코리아,100
2339632,3100002170,33999,(주)엑사이엔씨,100
2339633,3100026542,26511,디지피아(주),100
2339675,3100024409,46800,(주)현대크라프트,100
2339692,3100002179,14199,예스무역(주),100
2339696,3100027001,26299,(주)셀텀,100
2339705,3100026668,20501,(주)나노신소재,100
2339708,3100027078,31920,(주)아성전기,100
2339730,3100025906,46611,(주)티에스아이앤컴퍼니,100
2339761,3100010479,26410,(주)한국시엠알,100
2339805,3100027299,46420,태경산업(주),100
2339849,3100108472,10712,다솜에프엔비,100
2339872,3100106655,26310,(주)지아이,100
2339887,3100106481,13310,(주)지에프아이,100
2339888,3100106482,13221,텍스브이,100
2339893,3100105283,46420,(주) 코넥스트,100
2339894,3100105284,47830,(주)룩스쥬얼리,100
2339901,3100105065,22111,(주)토프라스,100
2339916,3100105457,14199,에이치알비나(주),100
2339929,3100105778,14191,(주)정인지엔티,100
2339936,3100105785,26299,(주)에이디모터스,100
2339964,3100105629,26511,(주)케이티브이글로벌,100
2340025,3100106738,29271,대주엔지니어링(주),100
2340031,3100107903,22250,(주)월드텍,100
2340057,3100114018,31111,진세조선(주),100
2340075,3100112163,26410,시스텍전자(주),100
2340092,3100113618,26511,(주)달스코리아,100
2340105,3100113665,14199,(주)우리셔츠,100
2340107,3100113667,10800,이조은사료(주),100
2340122,3100114871,30121,코리아화이어트럭(주),100
2340124,3100114873,13229,(주)정강산업,100
2340149,3100112894,28410,세황전자(주),100
2340164,3100111781,26310,(주)셀루온,100
2340173,3100113826,29221,에치엘팜텍(주),100
2340177,3100113832,13221,주식회사 에이티대육,100
2340182,3100112524,26120,mtm max,100
2340213,3100111719,29221,(주)에이치비이,100
2340228,6000069129,13221,(주)이어블루,100
2340272,6000042121,46105,피터솔씨푸드,100
2340295,3100104071,22111,금호타이어(주),100
2340313,3100105672,24321,(주)유진산기,100
2340324,3100102718,41221,한라산업개발(주),100
2340435,3100104678,14300,(주)리더패션,100
2340442,3100104909,42110,(주)스페이스테크,100
2340453,3100102221,22250,에스케이씨(주),100
2340461,3100101983,46800,(주)동양광학,100
2340481,3100104038,46621,경북철강(주),100
2340483,3100104897,46105,농업회사법인 주식회사 강원무역,100
2340487,3100104901,14491,(주)베스트캡,100
2340511,3100102426,46800,(주)삼스교역,100
2340517,3100003547,24211,(주)남선알미늄,100
2340521,3100000041,46800,SK네트웍스(주),100
2340523,3100000049,29210,동양물산기업(주),100
2340528,3100000516,28111,두산중공업(주),100
2340529,3100001413,30310,강남필터(주),100
2340537,3100001568,29119,(주)씨앤중공업,100
2340546,3100021968,14199,(주)우양통상,100
2340561,3100021565,28410,동부라이텍(주),100
2340568,3100021802,33999,(주)동성산기,100
2340652,3100022350,30310,에이디엠이십일(주),100
2340670,3100022266,10619,(주)동우산업,100
2340749,3100010325,13229, (주)동양 한일합섬 본부지점,100
2340861,3100012645,26120,(주)아큐텍,100
2340881,3100005207,46739,에스케이케미칼(주),100
2340893,3100026304,15110,(주) 범양레더테크,100
2340946,3100011321,15211,(주)한국바레트상사,100
2340952,3100013816,26299,서울반도체（주）,100
2340960,3100013459,46691,(주)다일,100
2341008,3100100454,46739,삼아씨앤아이(주),100
2341056,3100024169,46411,대동농업협동조합,100
2341078,3100024621,26310,(주)컴베이스,100
2341137,3100000858,41210,남광토건 (주),100
2341177,3100027026,22191,(주)원영씰,100
2341190,3100025169,46739,정한통상(주),100
2341208,3100107005,26120,(주)맥트로닉스,100
2341221,3100107340,46105,화인캡,100
2341231,3100105769,29161,(주)부일이엔씨,100
2341255,3100106491,28201,(주)에스피에스,100
2341336,3100105041,46105,에이펙스인텍(주),100
2341343,3100108495,46739,(주)메가켐,100
2341387,3100107959,24211,(주)엠지피,100
2341399,3100108009,45211,(주)엠제이티앤아이,100
2341427,3100111860,46721,(주)서울합금,100
2341493,3100112517,28511,(주)코랜,100
2341503,3100114113,46411,(주)세일섬유,100
2341521,3100113582,27321,마이크롭틱스(주),100
2341534,3100113631,29161,진성냉기산업(주),100
2341548,3100112991,24131,(주)엔아이스틸,100
2341560,3100113021,13221,주식회사 용호패브릭,100
2341571,3100112641,31111,명성이엔지(주),100
2341644,3100102878,31111,(주)21세기조선,100
2341645,3100102879,26310,(주)인포이큐,100
2341650,6000002121,29119,(주)아이언포스,100
2341701,3100104218,46411,(주)가든교역,100
2341705,3100101567,29299,(주)삼영유니텍,100
2341716,3100102537,46105,(주)영신코퍼레이션,100
2341735,3100102780,30310,(주)에이에스에이 김제,100
2341736,3100102781,24121,(주)티에스메탈,100
2341782,3100106001,26120,(주)히스코인터내셔널,100
2341809,3100101616,14199,(주)에프티앤,100
2341880,3100104790,26120,(주)씨유전자,100
2341933,3100001597,26299,(주)하이닉스반도체,100
2341937,3100004112,46800,알프케이에스 무역,100
2341960,3100022284,14199,아이비스,100
2341978,3100020938,14199,(주)리젼,100
2342006,3100021103,30310,한국공조공업(주),100
2342039,3100023578,29119,죤앤미셀회사,100
2342102,3100022791,24121,아피발코리아주식회사,100
2342114,3100023262,33999,부광산업,100
2342158,3100011547,20501,(주)모드테크,100
2342181,3100013303,27191,거상메디칼,100
2342201,3100020099,13999,(주)지엠티인터내셔날,100
2342223,3100011716,46739,(주)오씨아이상사,100
2342244,3100010842,33999,(주)삼국산업,100
2342270,3100012839,45211,(주)디에스교역,100
2342274,3100013265,23110,(주)경안전선,100
2342305,3100012318,46711,진텍스글로벌,100
2342306,3100001013,46105,아이디엠(주),100
2342360,3100101385,47411,(주)우리섬유,100
2342372,3100101123,10712,건식무역(주),100
2342376,3100100867,13221,(주)송정텍스타일,100
2342381,3100100874,26120,(주)윈포넷,100
2342390,3100100193,46510,엘지엔시스(주),100
2342401,3100100769,26120,(주)아이캔텍,100
2342424,3100101249,28121,(주)재은전자,100
2342465,3100023860,26120,(주)홍석,100
2342468,3100000705,46411,신화섬유(주),100
2342493,3100025823,46800,(주)삼신코리아,100
2342508,3100025367,26120,(주)아이리버,100
2342525,3100025596,29299,(주)케이이디,100
2342535,3100025679,33110,(주)재승상사,100
2342547,3100025042,46800,드미트리상사,100
2342559,3100026443,26511,(주)엔티엔,100
2342585,3100025689,28511,(주)산정,100
2342612,3100106053,14191,(주)택슨스포츠웨어,100
2342613,3100106054,58211,삼성에스디에스(주),100
2342632,3100106503,13221,(주)안엠인터내셔날,100
2342676,3100107110,30121,타타대우상용차,100
2342709,3100106320,14199,(주)영회무역,100
2342733,3100106785,31111,성동조선해양(주),100
2342735,3100106788,26120,포이닉스(주),100
2342761,3100107226,13221,동호섬유,100
2342763,3100107513,13221,두경텍스,100
2342764,3100108146,95121,제대로전자,100
2342775,3100108777,27111,(주)한주광학,100
2342793,3100111925,20421,(주)에스랜드,100
2342795,3100112554,46510,(주)금양시스템,100
2342815,3100113564,10712,문옥례가 영농조합법인,100
2342825,3100113611,26511,(주)월드스페이스코리아,100
2342889,3100114002,30310,(주)플로우맥스,100
2342892,3100113425,26120,뮤텔테크놀러지(주),100
2342906,3100113473,45120,가나안무역,100
2342908,3100113476,26310,(주)포스윈텍,100
2342917,3100112814,26120,(주)네빅스닷컴,100
2342940,3100113344,13999,신호산업사,100
2343031,3100118467,46105,피아이에스코리아(주),100
2343034,3100118470,14199,(주)라이스원,100
2343136,6000093787,46799,KINSKIN,100
2343188,6000074747,26410,삼화통신공업(주),100
2343289,3100105386,27216,한백디스템(주),100
2343299,3100105433,33999,이비디앤씨(주),100
2343307,3100105706,26299,(주)트루픽스,100
2343339,3100105667,45120,(주)우영코퍼레이션,100
2343364,3100102747,29230,(주)세아메탈,100
2343373,3100103695,58111,건축세계(주),100
2343406,3100023034,46411,(주)문영무역,100
2343536,3100021925,46800,성창섬유기계,100
