,상품분류코드,상품분류명,상품분류그룹코드,상품분류그룹명
268,4407250000,나.다크레드메란티·라이트레드메란티 및 메란티바카우,5,"목재와 펄프, 지물류"
269,440726,다. 화이트라왕·화이트메란티·화이트세라야·옐로메란티 및 아란,5,"목재와 펄프, 지물류"
270,4407260000,다. 화이트라왕·화이트메란티·화이트세라야·옐로메란티 및 아란,5,"목재와 펄프, 지물류"
271,440727,농수산식품,5,"목재와 펄프, 지물류"
272,4407270000,사팰리,5,"목재와 펄프, 지물류"
273,440728,농수산식품,5,"목재와 펄프, 지물류"
274,4407280000,이로코,5,"목재와 펄프, 지물류"
275,440729,라. 기타,5,"목재와 펄프, 지물류"
276,4407291000,(1) 케루잉·라민·카풀·종콩·멜바우·제루통 및 켐파스,5,"목재와 펄프, 지물류"
277,4407292000,(2) 티크,5,"목재와 펄프, 지물류"
278,4407293000,(3) 오꾸메·오베체·사뺄리·시뽀·아까쥬다푸리케·마꼬레·이로코·티아마·만소니아·이롬바·디베토우·림바 및 아조베,5,"목재와 펄프, 지물류"
279,4407299000,(4) 기타,5,"목재와 펄프, 지물류"
280,44079,3. 기 타,5,"목재와 펄프, 지물류"
281,440791,가. 참나무류,5,"목재와 펄프, 지물류"
282,4407910000,가. 참나무류,5,"목재와 펄프, 지물류"
283,440792,나. 너도밤나무류,5,"목재와 펄프, 지물류"
284,4407920000,나. 너도밤나무류,5,"목재와 펄프, 지물류"
285,440793,농수산식품,5,"목재와 펄프, 지물류"
286,4407930000,단풍나무(아세르종)의 것,5,"목재와 펄프, 지물류"
287,440794,농수산식품,5,"목재와 펄프, 지물류"
288,4407940000,체리나무(프루누스종)의 것,5,"목재와 펄프, 지물류"
289,440795,농수산식품,5,"목재와 펄프, 지물류"
290,4407950000,물푸레나무(프라시너스종)의 것,5,"목재와 펄프, 지물류"
291,440796,농수산식품,5,"목재와 펄프, 지물류"
292,4407960000,자작나무[베툴라(Betula)종]의 것,5,"목재와 펄프, 지물류"
293,440797,"포플러와 사시나무[포푸러스(Populus)속]의 것
",5,"목재와 펄프, 지물류"
294,4407971000,포플러,5,"목재와 펄프, 지물류"
295,4407972000,사시나무,5,"목재와 펄프, 지물류"
296,440799,다. 기 타,5,"목재와 펄프, 지물류"
297,44079910,(1) 황양·화리·철도목·자 단·흑단·힉코리·물푸레나무·호도나무,5,"목재와 펄프, 지물류"
298,4407991010,자단,5,"목재와 펄프, 지물류"
299,4407991020,흑단,5,"목재와 펄프, 지물류"
300,4407991030,물푸레나무,5,"목재와 펄프, 지물류"
301,4407991040,호도나무,5,"목재와 펄프, 지물류"
302,4407991090,기타,5,"목재와 펄프, 지물류"
303,4407992000,(2) 리그넘바이트,5,"목재와 펄프, 지물류"
304,44079930,(3) 사시나무·포플러·단풍나무·느릅나무·자작나무 및 피나무,5,"목재와 펄프, 지물류"
305,4407993010,사시나무,5,"목재와 펄프, 지물류"
306,4407993020,포플러,5,"목재와 펄프, 지물류"
307,4407993030,단풍나무,5,"목재와 펄프, 지물류"
308,4407993040,느릅나무,5,"목재와 펄프, 지물류"
309,4407993050,자작나무,5,"목재와 펄프, 지물류"
310,4407993060,피나무,5,"목재와 펄프, 지물류"
311,4407994000,(4) 오동나무,5,"목재와 펄프, 지물류"
312,44079990,(5) 기 타,5,"목재와 펄프, 지물류"
313,4407999000,기타,5,"목재와 펄프, 지물류"
314,4407999010,(가) 열대산 목재(앞에서 게기한 것을 제외한다),5,"목재와 펄프, 지물류"
315,4407999090,(나) 기타,5,"목재와 펄프, 지물류"
316,4408,단판과 합판용 단판및 기타의 목재,5,"목재와 펄프, 지물류"
317,440810,1. 침엽수류,5,"목재와 펄프, 지물류"
318,4408106000,가. 적층목재품을 평삭한 베니어용의 것 또는 기타 이와 유사한 적층목재품용의 것,5,"목재와 펄프, 지물류"
319,4408109,기타,5,"목재와 펄프, 지물류"
320,44081090,나. 기타,5,"목재와 펄프, 지물류"
321,4408109010,삼나무,5,"목재와 펄프, 지물류"
322,4408109020,미송,5,"목재와 펄프, 지물류"
323,4408109030,적송,5,"목재와 펄프, 지물류"
324,4408109040,전나무,5,"목재와 펄프, 지물류"
325,4408109050,낙엽송,5,"목재와 펄프, 지물류"
326,4408109060,가문비나무,5,"목재와 펄프, 지물류"
327,4408109070,라디에타소나무,5,"목재와 펄프, 지물류"
328,4408109090,기타,5,"목재와 펄프, 지물류"
329,4408109100,합판 제조용의 것,5,"목재와 펄프, 지물류"
330,4408109200,무늬목,5,"목재와 펄프, 지물류"
331,44081099,기타,5,"목재와 펄프, 지물류"
332,4408109910,삼나무,5,"목재와 펄프, 지물류"
333,4408109920,미송,5,"목재와 펄프, 지물류"
334,4408109930,적송,5,"목재와 펄프, 지물류"
335,4408109940,전나무,5,"목재와 펄프, 지물류"
336,4408109950,낙엽송,5,"목재와 펄프, 지물류"
337,4408109960,가문비나무,5,"목재와 펄프, 지물류"
338,4408109970,라디에타소나무,5,"목재와 펄프, 지물류"
339,4408109990,기타,5,"목재와 펄프, 지물류"
340,44083,2. 열대산 목재의 것,5,"목재와 펄프, 지물류"
341,440831,가. 다크레드메란티 ·라이트레드메란티 및 메란티바카우,5,"목재와 펄프, 지물류"
342,4408313000,(1) 적층목재품을 평삭한 베니어용의 것 또는 기타 이와 유사한 적층목재품용의 것,5,"목재와 펄프, 지물류"
343,44083190,(2) 기타,5,"목재와 펄프, 지물류"
344,440831901,다크레드메란티ㆍ라이트레드메란티,5,"목재와 펄프, 지물류"
345,4408319010,(가)다크레드메란티·라이트레드메란티,5,"목재와 펄프, 지물류"
346,4408319011,합판 제조용의 것,5,"목재와 펄프, 지물류"
347,4408319012,무늬목,5,"목재와 펄프, 지물류"
348,4408319019,기타,5,"목재와 펄프, 지물류"
349,440831902,메란티바카우,5,"목재와 펄프, 지물류"
350,4408319020,(나)메란티바카우,5,"목재와 펄프, 지물류"
351,4408319021,합판 제조용의 것,5,"목재와 펄프, 지물류"
352,4408319022,무늬목,5,"목재와 펄프, 지물류"
353,4408319029,기타,5,"목재와 펄프, 지물류"
354,440839,나. 기타,5,"목재와 펄프, 지물류"
355,4408396000,(1) 적층목재품을 평삭한 베니어용의 것 또는 기타 이와 유사한 적층목재품용의 것,5,"목재와 펄프, 지물류"
356,44083990,(2) 기타,5,"목재와 펄프, 지물류"
357,440839901,티크,5,"목재와 펄프, 지물류"
358,4408399010,(가) 티크,5,"목재와 펄프, 지물류"
359,4408399011,합판 제조용의 것,5,"목재와 펄프, 지물류"
360,4408399012,무늬목,5,"목재와 펄프, 지물류"
361,4408399019,기타,5,"목재와 펄프, 지물류"
362,440839902,화이트라왕,5,"목재와 펄프, 지물류"
363,4408399020,(나) 화이트라왕,5,"목재와 펄프, 지물류"
364,4408399021,합판 제조용의 것,5,"목재와 펄프, 지물류"
365,4408399022,무늬목,5,"목재와 펄프, 지물류"
366,4408399029,기타,5,"목재와 펄프, 지물류"
367,440839903,시뽀ㆍ오꾸메ㆍ오베체ㆍ아까쥬다푸리케 및 사팰리,5,"목재와 펄프, 지물류"
368,4408399030,(다) 시뽀·오꾸메·오베체·아까쥬다푸리케 및 사뺄리,5,"목재와 펄프, 지물류"
369,4408399031,합판 제조용의 것,5,"목재와 펄프, 지물류"
370,4408399032,무늬목,5,"목재와 펄프, 지물류"
371,4408399039,기타,5,"목재와 펄프, 지물류"
372,440839904,림바,5,"목재와 펄프, 지물류"
373,4408399040,(라) 림바,5,"목재와 펄프, 지물류"
374,4408399041,합판 제조용의 것,5,"목재와 펄프, 지물류"
375,4408399042,무늬목,5,"목재와 펄프, 지물류"
376,4408399049,기타,5,"목재와 펄프, 지물류"
377,440839905,마호가니,5,"목재와 펄프, 지물류"
378,4408399050,(마) 마호가니,5,"목재와 펄프, 지물류"
379,4408399051,합판 제조용의 것,5,"목재와 펄프, 지물류"
380,4408399052,무늬목,5,"목재와 펄프, 지물류"
381,4408399059,기타,5,"목재와 펄프, 지물류"
382,440839909,기타,5,"목재와 펄프, 지물류"
383,4408399090,(바)기타,5,"목재와 펄프, 지물류"
384,4408399091,합판 제조용의 것,5,"목재와 펄프, 지물류"
385,4408399092,무늬목,5,"목재와 펄프, 지물류"
386,4408399099,기타,5,"목재와 펄프, 지물류"
